,partial_subkey,count,bias
0,00,5066,0.0066
1,01,5018,0.0018
2,02,4946,0.0054
3,03,4993,0.0007
4,04,5031,0.0031
5,05,5065,0.0065
6,06,4937,0.0063
7,07,5020,0.002
8,08,4899,0.0101
9,09,4982,0.0018
10,0A,5016,0.0016
11,0B,5050,0.005
12,0C,4960,0.004
13,0D,5007,0.0007
14,0E,5029,0.0029
15,0F,4981,0.0019
16,10,5016,0.0016
17,11,4950,0.005
18,12,5000,0.0
19,13,4979,0.0021
20,14,5045,0.0045
21,15,5027,0.0027
22,16,4933,0.0067
23,17,4930,0.007
24,18,4983,0.0017
25,19,4980,0.002
26,1A,5060,0.006
27,1B,5042,0.0042
28,1C,5056,0.0056
29,1D,5035,0.0035
30,1E,5015,0.0015
31,1F,4949,0.0051
32,20,4968,0.0032
33,21,5000,0.0
34,22,5046,0.0046
35,23,5051,0.0051
36,24,4973,0.0027
37,25,4991,0.0009
38,26,5025,0.0025
39,27,5034,0.0034
40,28,5035,0.0035
41,29,5044,0.0044
42,2A,4940,0.006
43,2B,4958,0.0042
44,2C,5020,0.002
45,2D,5025,0.0025
46,2E,4929,0.0071
47,2F,4961,0.0039
48,30,4919,0.0081
49,31,5015,0.0015
50,32,5049,0.0049
51,33,5016,0.0016
52,34,5010,0.001
53,35,4988,0.0012
54,36,5036,0.0036
55,37,5013,0.0013
56,38,5038,0.0038
57,39,5015,0.0015
58,3A,4961,0.0039
59,3B,4939,0.0061
60,3C,4999,0.0001
61,3D,4966,0.0034
62,3E,4970,0.003
63,3F,5066,0.0066
64,40,5023,0.0023
65,41,5001,0.0001
66,42,5011,0.0011
67,43,4984,0.0016
68,44,5002,0.0002
69,45,5066,0.0066
70,46,5000,0.0
71,47,4951,0.0049
72,48,5004,0.0004
73,49,4955,0.0045
74,4A,4979,0.0021
75,4B,5043,0.0043
76,4C,5031,0.0031
77,4D,5004,0.0004
78,4E,4984,0.0016
79,4F,4962,0.0038
80,50,4972,0.0028
81,51,5042,0.0042
82,52,4962,0.0038
83,53,4985,0.0015
84,54,4939,0.0061
85,55,5001,0.0001
86,56,5009,0.0009
87,57,4942,0.0058
88,58,5063,0.0063
89,59,4996,0.0004
90,5A,4994,0.0006
91,5B,5056,0.0056
92,5C,4998,0.0002
93,5D,5021,0.0021
94,5E,4975,0.0025
95,5F,5045,0.0045
96,60,4976,0.0024
97,61,4996,0.0004
98,62,5014,0.0014
99,63,5023,0.0023
100,64,5021,0.0021
101,65,4985,0.0015
102,66,4983,0.0017
103,67,5026,0.0026
104,68,4943,0.0057
105,69,4986,0.0014
106,6A,5046,0.0046
107,6B,5010,0.001
108,6C,4984,0.0016
109,6D,4993,0.0007
110,6E,4997,0.0003
111,6F,5017,0.0017
112,70,4994,0.0006
113,71,4976,0.0024
114,72,5026,0.0026
115,73,5025,0.0025
116,74,5003,0.0003
117,75,4973,0.0027
118,76,4961,0.0039
119,77,5058,0.0058
120,78,4967,0.0033
121,79,5064,0.0064
122,7A,5002,0.0002
123,7B,4972,0.0028
124,7C,5042,0.0042
125,7D,5041,0.0041
126,7E,4957,0.0043
127,7F,4939,0.0061
128,80,5013,0.0013
129,81,5005,0.0005
130,82,4997,0.0003
131,83,5008,0.0008
132,84,5050,0.005
133,85,4924,0.0076
134,86,5016,0.0016
135,87,4993,0.0007
136,88,4978,0.0022
137,89,4955,0.0045
138,8A,5105,0.0105
139,8B,4979,0.0021
140,8C,4967,0.0033
141,8D,4978,0.0022
142,8E,5020,0.002
143,8F,5012,0.0012
144,90,5031,0.0031
145,91,4985,0.0015
146,92,5009,0.0009
147,93,5010,0.001
148,94,5032,0.0032
149,95,4912,0.0088
150,96,4994,0.0006
151,97,5025,0.0025
152,98,5002,0.0002
153,99,5033,0.0033
154,9A,5061,0.0061
155,9B,4941,0.0059
156,9C,5025,0.0025
157,9D,5026,0.0026
158,9E,4980,0.002
159,9F,4934,0.0066
160,A0,5021,0.0021
161,A1,4977,0.0023
162,A2,5015,0.0015
163,A3,4982,0.0018
164,A4,5008,0.0008
165,A5,5102,0.0102
166,A6,5014,0.0014
167,A7,5007,0.0007
168,A8,4992,0.0008
169,A9,4985,0.0015
170,AA,4899,0.0101
171,AB,4993,0.0007
172,AC,4993,0.0007
173,AD,4960,0.004
174,AE,5048,0.0048
175,AF,5004,0.0004
176,B0,4970,0.003
177,B1,5018,0.0018
178,B2,4966,0.0034
179,B3,4983,0.0017
180,B4,4945,0.0055
181,B5,5037,0.0037
182,B6,5023,0.0023
183,B7,4998,0.0002
184,B8,5051,0.0051
185,B9,5026,0.0026
186,BA,4914,0.0086
187,BB,5006,0.0006
188,BC,4960,0.004
189,BD,4977,0.0023
190,BE,5039,0.0039
191,BF,5087,0.0087
192,C0,4952,0.0048
193,C1,4934,0.0066
194,C2,5054,0.0054
195,C3,5047,0.0047
196,C4,4997,0.0003
197,C5,4995,0.0005
198,C6,5027,0.0027
199,C7,4978,0.0022
200,C8,5005,0.0005
201,C9,4956,0.0044
202,CA,5022,0.0022
203,CB,5020,0.002
204,CC,5062,0.0062
205,CD,5055,0.0055
206,CE,4957,0.0043
207,CF,4939,0.0061
208,D0,4903,0.0097
209,D1,4949,0.0051
210,D2,5057,0.0057
211,D3,5012,0.0012
212,D4,5034,0.0034
213,D5,4992,0.0008
214,D6,5038,0.0038
215,D7,4957,0.0043
216,D8,5008,0.0008
217,D9,4927,0.0073
218,DA,5043,0.0043
219,DB,5001,0.0001
220,DC,5041,0.0041
221,DD,4996,0.0004
222,DE,4998,0.0002
223,DF,5044,0.0044
224,E0,5113,0.0113
225,E1,5101,0.0101
226,E2,4897,0.0103
227,E3,4958,0.0042
228,E4,4948,0.0052
229,E5,4990,0.001
230,E6,5004,0.0004
231,E7,5079,0.0079
232,E8,4974,0.0026
233,E9,5049,0.0049
234,EA,4957,0.0043
235,EB,4999,0.0001
236,EC,4883,0.0117
237,ED,4944,0.0056
238,EE,5058,0.0058
239,EF,5046,0.0046
240,F0,5063,0.0063
241,F1,5033,0.0033
242,F2,4951,0.0049
243,F3,4944,0.0056
244,F4,4962,0.0038
245,F5,4952,0.0048
246,F6,5000,0.0
247,F7,4989,0.0011
248,F8,5058,0.0058
249,F9,5047,0.0047
250,FA,5001,0.0001
251,FB,4991,0.0009
252,FC,4979,0.0021
253,FD,4972,0.0028
254,FE,5044,0.0044
255,FF,5014,0.0014
